op,batch,vocab,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,logits_bytes,dram_floor_us,floor_frac_of_latency,git_commit,round
fused_k20,4,151936,bfloat16,2,8,32.779,32.770,32.782,32.776,0.005,5,3634,363,1215488,2.199,0.067096,d544983-dirty,1
fused_k20,4,151936,bfloat16,4,16,22.970,22.965,22.979,22.971,0.006,5,5000,500,1215488,2.199,0.095747,d544983-dirty,1
fused_k20,4,151936,bfloat16,8,32,18.478,18.471,18.480,18.477,0.004,5,5000,500,1215488,2.199,0.119022,d544983-dirty,1
fused_k20,4,151936,bfloat16,16,64,17.283,17.280,17.304,17.289,0.011,5,5000,500,1215488,2.199,0.127251,d544983-dirty,1
fused_k20,4,151936,bfloat16,20,80,17.895,17.874,17.902,17.891,0.013,5,5000,500,1215488,2.199,0.122899,d544983-dirty,1
fused_k20,4,151936,bfloat16,32,128,19.433,19.424,19.459,19.438,0.016,5,5000,500,1215488,2.199,0.113174,d544983-dirty,1
fused_k50,4,151936,bfloat16,1,4,54.800,54.755,54.829,54.794,0.032,5,2202,220,1215488,2.199,0.040134,d544983-dirty,1
fused_k50,4,151936,bfloat16,2,8,34.862,34.858,34.874,34.865,0.007,5,3408,340,1215488,2.199,0.063087,d544983-dirty,1
fused_k50,4,151936,bfloat16,4,16,25.610,25.581,25.622,25.603,0.019,5,4739,473,1215488,2.199,0.085876,d544983-dirty,1
fused_k50,4,151936,bfloat16,8,32,20.657,20.654,20.669,20.659,0.008,5,5000,500,1215488,2.199,0.106470,d544983-dirty,1
